depth	min	max	median	mean
9	542	666	601	604
10	577	923	694	709
11	594	1245	777	813
12	651	1373	886	921
13	686	1594	986	1029
14	755	1742	1101	1135
15	795	1921	1208	1242
16	875	2051	1322	1352
17	917	2225	1432	1461
18	1022	2337	1546	1571
19	1075	2475	1656	1681
20	1169	2581	1769	1797
21	1241	2738	1891	1914
22	1345	2821	2009	2023
23	1416	2974	2118	2133
24	1523	3064	2229	2239
25	1580	3199	2337	2345
26	1673	3329	2446	2458
27	1740	3437	2566	2570
28	1863	3557	2674	2680
29	1923	3702	2783	2790
30	2027	3768	2888	2887
31	2105	3849	2985	2984
32	2214	3946	3091	3086
33	2285	4044	3193	3189
34	2368	4133	3317	3296
35	2473	4251	3434	3403
36	2616	4338	3556	3517
37	2693	4458	3669	3630
38	2872	4540	3821	3772
39	2993	4660	3955	3914
40	3202	4732	4106	4077
41	3359	4871	4281	4239
42	3692	4936	4438	4405
43	3869	5054	4601	4571
44	4214	5106	4727	4716
45	4436	5204	4865	4861
46	4849	5280	5009	5035
47	4925	5622	5185	5208
48	5019	5878	5367	5385
49	5078	6322	5513	5561
50	5189	6508	5702	5741
51	5269	6817	5874	5921
52	5408	6955	6069	6098
53	5484	7281	6241	6274
54	5638	7414	6434	6462
55	5745	7646	6634	6651
56	5953	7801	6827	6837
57	6065	8062	7012	7023
58	6242	8177	7218	7211
59	6368	8356	7410	7400
60	6536	8481	7600	7584
61	6663	8703	7800	7768
62	6936	8799	7998	7966
63	7114	8959	8205	8163
64	7379	9063	8405	8348
65	7521	9218	8597	8533
66	7796	9294	8777	8716
67	7988	9426	8971	8899
68	8229	9462	9161	9082
69	8392	9538	9365	9266
70	8536	9571	9471	9370
71	8653	9695	9562	9474
72	8717	9765	9599	9520
73	8781	9858	9631	9566
74	8864	9916	9669	9611
75	8926	10001	9706	9657
76	8994	10066	9746	9700
77	9053	10136	9781	9743
78	9113	10195	9823	9788
79	9163	10254	9860	9833
80	9261	10322	9899	9877
81	9329	10396	9934	9921
82	9404	10465	9974	9967
83	9458	10537	10013	10012
84	9544	10607	10053	10058
85	9601	10662	10092	10104
86	9696	10716	10133	10150
87	9761	10768	10173	10195
88	9835	10814	10209	10238
89	9899	10880	10246	10281
90	9969	10928	10281	10324
91	10023	10972	10318	10367
92	10109	11018	10354	10413
93	10172	11083	10392	10458
94	10249	11162	10452	10517
